index,SMILES,new_SMILES
5909,COc1cc(O)c(CCC(=O)O)cc1[C@@H](O)CC(C)C,COc1cc(O)c(CCC(=O)O)cc1C(O)CC(C)C
5910,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1C[C@H](C2CC2)Oc2ccc(CC(C)(C)C)cc21,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CC(C2CC2)Oc2ccc(CC(C)(C)C)cc21
5911,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO,CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)C(CSc1cccs1)C(=O)NO
5912,O=C1c2ccc(S(=O)(=O)O)cc2C(=O)c2ccc(S(=O)(=O)O)cc21,O=C1c2ccc(S(=O)(=O)O)cc2C(=O)c2ccc(S(=O)(=O)O)cc21
5913,CC(C)c1ccc(CCC(=O)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,CC(C)c1ccc(CCC(=O)NC2OC(CO)C(O)C(O)C2O)cc1
5914,COC(=O)c1cccc2[nH]ccc12,COC(=O)c1cccc2[nH]ccc12
5915,S=CNCc1ccccc1,S=CNCc1ccccc1
5916,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
5917,Cn1cnc2c1c(=O)n(CCn1c(=O)c3c(ncn3C)n(C)c1=O)c(=O)n2C,Cn1cnc2c1c(=O)n(CCn1c(=O)c3c(ncn3C)n(C)c1=O)c(=O)n2C
5918,CCCCCCCCCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N(C)CCc1ccccn1,CCCCCCCCCCC(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)N(C)CCc1ccccn1
5919,Cn1c[n+](C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c2nc(N)[nH]c(=O)c21,Cn1c[n+](C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c2nc(N)[nH]c(=O)c21
5920,OC[C@H]1NC[C@@H](O)[C@H]1O,OCC1NCC(O)C1O
5922,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)C(C)C)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C)O,CC(C)CC(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(NC(=O)C(C)NC(=O)C(N)C(C)C)C(C)O)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)O)C(C)O
5923,NS(=O)(=O)[C@@H]1O[C@H](CO)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,NS(=O)(=O)C1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
